,Topic,Count,Name,-1,0,1
0,-1.0,40.0,-1_energy_cooling_building_temperature,"('energy', 0.0579408027799388)","('building', 0.08806395470113894)","('energy', 0.06210099303353297)"
1,0.0,32.0,0_building_thermal_temperature_comfort,"('cooling', 0.03988609612494178)","('thermal', 0.07966786554489001)","('temperature', 0.0520707093063588)"
2,1.0,23.0,1_energy_temperature_cooling_heat,"('building', 0.03930780544631818)","('temperature', 0.052891515511705116)","('cooling', 0.048449938556491275)"
3,,,,"('temperature', 0.039033249341752986)","('comfort', 0.05026434502304338)","('heat', 0.0411243363837116)"
4,,,,"('system', 0.03301821588773235)","('indoor', 0.03814476233405628)","('load', 0.033478095411828536)"
5,,,,"('demand', 0.032813557819586274)","('air', 0.035772692910237804)","('model', 0.032396956353143956)"
6,,,,"('model', 0.027559602596304654)","('design', 0.03068397760700325)","('butterfly', 0.031251440188267206)"
7,,,,"('different', 0.02718837647908577)","('energy', 0.030034176317093847)","('heating', 0.030612244383269833)"
8,,,,"('solar', 0.024280486661946443)","('condition', 0.029219843300731525)","('glazing', 0.02925062505890122)"
9,,,,"('material', 0.0235511236890174)","('roof', 0.028934022271017604)","('solar', 0.027855150067744427)"
