,Topic,Count,Name,-1,0,1,2
0,-1.0,24.0,-1_temperature_urban_area_heat,"('temperature', 0.06300122968397086)","('urban', 0.06952245282851574)","('heat', 0.11603525107138751)","('building', 0.11248952424711355)"
1,0.0,30.0,0_urban_heat_temperature_city,"('urban', 0.057224830420000164)","('heat', 0.058811799470144616)","('health', 0.04999420724752673)","('energy', 0.10199429657600369)"
2,1.0,15.0,1_heat_health_risk_stress,"('area', 0.04048385622646261)","('temperature', 0.055529165384522954)","('risk', 0.03911552609232119)","('cooling', 0.054368711301560325)"
3,2.0,12.0,2_building_energy_cooling_indoor,"('heat', 0.03953381500220646)","('city', 0.04789764396602914)","('stress', 0.03905580949467464)","('indoor', 0.04816040077662623)"
4,,,,"('effect', 0.03105688908407716)","('model', 0.04152120262281386)","('temperature', 0.035779284926321764)","('air', 0.04712308217947319)"
5,,,,"('high', 0.031028790752152747)","('land', 0.041240869858899645)","('related', 0.03485345867492234)","('future', 0.03663116308312069)"
6,,,,"('impact', 0.02982608138310269)","('extreme', 0.03896757482603084)","('people', 0.03262498769796402)","('overheating', 0.03619607725009514)"
7,,,,"('thermal', 0.028059395186730864)","('effect', 0.033861169995675136)","('weather', 0.032322080344362056)","('dwelling', 0.035769381406122416)"
8,,,,"('greening', 0.02753542144043645)","('day', 0.03216582702969256)","('household', 0.03172176528197472)","('fresh', 0.035769381406122416)"
9,,,,"('city', 0.026669968251496874)","('surface', 0.03013152050300838)","('home', 0.030530322072086336)","('supply', 0.03515777021813141)"
