,Topic,Count,Name,-1,0,1,2
0,-1.0,41.0,-1_health_temperature_fire_football,"('health', 0.02220144155321151)","('coastal', 0.05204029777261881)","('population', 0.04610544429242356)","('city', 0.0726259059039571)"
1,0.0,38.0,0_coastal_sea_level_community,"('temperature', 0.021331390814068475)","('sea', 0.03432485080317903)","('thermal', 0.04521247404036809)","('water', 0.06811949483361743)"
2,1.0,18.0,1_population_thermal_temperature_northern,"('fire', 0.02129499761277286)","('level', 0.032582719223933125)","('temperature', 0.04071239143596887)","('urban', 0.04792538422438223)"
3,2.0,17.0,2_city_water_urban_street,"('football', 0.019083398430181784)","('community', 0.025183433031114057)","('northern', 0.02979749804324159)","('street', 0.04610734743512538)"
4,,,,"('environmental', 0.018321292415086447)","('impact', 0.02473019975724556)","('southern', 0.02775481965547664)","('rainfall', 0.04569226575103316)"
5,,,,"('design', 0.01822247987007677)","('fishery', 0.02327270913110795)","('degree', 0.027137282171148743)","('emission', 0.035612672569079865)"
6,,,,"('climatic', 0.017902865170291243)","('response', 0.021906324175887053)","('bud', 0.02696524109147731)","('future', 0.03130494827437364)"
7,,,,"('000', 0.017679272935205374)","('local', 0.02161946579287333)","('system', 0.026338165766460066)","('system', 0.029494489940447875)"
8,,,,"('organic', 0.017435507681554312)","('in', 0.02158557501169528)","('comfort', 0.025312226893868976)","('airport', 0.02853770381578258)"
9,,,,"('impact', 0.01734861701750374)","('information', 0.021354993335934436)","('set', 0.02497933768992898)","('impact', 0.028237714624072128)"
