,Topic,Count,Name,-1,0,1,2,3
0,-1.0,74.0,-1_health_impact_region_area,"('health', 0.02449095226458072)","('water', 0.04650541927510036)","('urban', 0.07367685469609846)","('energy', 0.07356345305818698)","('risk', 0.06094242870386349)"
1,0.0,30.0,0_water_food_impact_management,"('impact', 0.023744135992988656)","('food', 0.04008390350641758)","('temperature', 0.06321153097583113)","('technology', 0.04356932667038705)","('sea', 0.04160864571183003)"
2,1.0,19.0,1_urban_temperature_heat_surface,"('region', 0.02154063519629156)","('impact', 0.03534688525309701)","('heat', 0.05645206070194954)","('emission', 0.03899569339230325)","('health', 0.03955733922078857)"
3,2.0,13.0,2_energy_technology_emission_power,"('area', 0.020645536202053172)","('management', 0.027225814774449974)","('surface', 0.04118932518876897)","('power', 0.03447713743853642)","('iq', 0.03718449211184019)"
4,3.0,11.0,3_risk_sea_health_iq,"('global', 0.020545849193453074)","('scale', 0.025288068451240216)","('city', 0.040018798778162105)","('co2', 0.034388485408028094)","('hospital', 0.03659406342748926)"
5,,,,"('energy', 0.019750773277278196)","('security', 0.022568092329641187)","('zone', 0.03581853970446679)","('carbon', 0.03410638917959218)","('ice', 0.03659406342748926)"
6,,,,"('country', 0.017353999781700283)","('household', 0.021890592387975413)","('cooling', 0.03326007258271916)","('system', 0.032022033792712415)","('system', 0.033511754495242956)"
7,,,,"('based', 0.01668360651946387)","('data', 0.02114608484293098)","('uhi', 0.03299791909082129)","('superconducting', 0.03092073094979575)","('local', 0.030838281314961868)"
8,,,,"('policy', 0.01666829281571791)","('vulnerability', 0.021051479285806557)","('pm2', 0.03299791909082129)","('cc', 0.028940011300674588)","('impact', 0.030808825384802608)"
9,,,,"('water', 0.014994141041937243)","('approach', 0.02073970776430998)","('stress', 0.032315408619707775)","('public', 0.025601415002730596)","('disaster', 0.029333991799609556)"
