,Topic,Count,Name,-1,0,1
0,-1.0,18.0,-1_bamboo_air_building_result,"('bamboo', 0.03755658608049225)","('energy', 0.09057063610377464)","('urban', 0.08024227126238574)"
1,0.0,22.0,0_energy_building_thermal_consumption,"('air', 0.03747045898841589)","('building', 0.08352625329570328)","('cooling', 0.0766468320381053)"
2,1.0,13.0,1_urban_cooling_temperature_heat,"('building', 0.0370192106753573)","('thermal', 0.03853581764759567)","('temperature', 0.07070651462626065)"
3,,,,"('result', 0.03449781497387385)","('consumption', 0.03484523055172842)","('heat', 0.068800042008551)"
4,,,,"('solar', 0.0332319325458138)","('design', 0.034050807834768146)","('area', 0.05797215301785354)"
5,,,,"('shading', 0.032753236484704226)","('green', 0.03125589945401718)","('effect', 0.05556926469921427)"
6,,,,"('thermal', 0.032179179562126715)","('performance', 0.029475114266035194)","('green', 0.0430322420009354)"
7,,,,"('energy', 0.03153488316789696)","('co2', 0.02756561117166651)","('size', 0.03480914825263255)"
8,,,,"('system', 0.029591328721062)","('use', 0.02623335414136211)","('greenspace', 0.034041802035255864)"
9,,,,"('facade', 0.028890263632872497)","('future', 0.025944104632156715)","('dormancy', 0.034041802035255864)"
