,Topic,Count,Name,-1
0,-1.0,68.0,-1_urban_city_risk_planning,"('urban', 0.1047001789440324)"
1,,,,"('city', 0.07337909316162901)"
2,,,,"('risk', 0.05264516421233982)"
3,,,,"('planning', 0.04698871145471531)"
4,,,,"('policy', 0.042930541386189)"
5,,,,"('impact', 0.03586264040843939)"
6,,,,"('resilience', 0.033408841588637)"
7,,,,"('area', 0.03241183208556608)"
8,,,,"('development', 0.030389339864202735)"
9,,,,"('approach', 0.027278224745318647)"
