,Topic,Count,Name,-1,0,1,2
0,-1.0,51.0,-1_coastal_flood_community_vulnerability,"('coastal', 0.04334406539425455)","('coastal', 0.08306521505553298)","('cyclone', 0.04437718455804522)","('mangrove', 0.07113017038951258)"
1,0.0,37.0,0_coastal_sea_level_rise,"('flood', 0.03675804655795361)","('sea', 0.05478175917537888)","('hurricane', 0.043262557087751105)","('impact', 0.0612921335872316)"
2,1.0,33.0,1_cyclone_hurricane_impact_model,"('community', 0.03419560019213765)","('level', 0.051140049010191216)","('impact', 0.031073013972508872)","('aquaculture', 0.05758209108844505)"
3,2.0,12.0,2_mangrove_impact_aquaculture_forest,"('vulnerability', 0.028114155134639607)","('rise', 0.03742518769351215)","('model', 0.028172461336074876)","('forest', 0.03956137069372599)"
4,,,,"('level', 0.028089757098889716)","('beach', 0.0360541339033925)","('community', 0.0279894116483745)","('local', 0.03821055095208405)"
5,,,,"('sea', 0.027775424938494105)","('flooding', 0.03423449106826466)","('storm', 0.027827412523431502)","('area', 0.03603938610956935)"
6,,,,"('risk', 0.026944300682323386)","('risk', 0.033741285187349424)","('risk', 0.025457575886008266)","('coastal', 0.035530830421691674)"
7,,,,"('flooding', 0.023034925317377667)","('erosion', 0.0304391071742836)","('disaster', 0.025108716452285355)","('increase', 0.033485723115724175)"
8,,,,"('storm', 0.021598526399625506)","('area', 0.028962358660991113)","('loss', 0.024611333652888895)","('effect', 0.03145564649303983)"
9,,,,"('area', 0.020680647089854252)","('slr', 0.028459463715984686)","('coastal', 0.023513362188195178)","('ecosystem', 0.031297274971385534)"
